SCHOOL_ENROLLMENT_ID,CENSUS_YEAR,CENSUS_SUBDIVISION_ID,SCHOOL_NAME,SCHOOL_DISTRICT,ELEMENTARY_SCHOOL_ENROLLMENT,SECONDARY_SCHOOL_ENROLLMENT,SCHOOL_YEAR_PERIOD,DATA_PUBLICATION_YEAR,LATITUDE,LONGITUDE
437,2016,5909052,Abbotsford Traditional Middle School,Abbotsford,269,120,2016/2017,2017,49.043314,-122.355307
438,2016,5909052,Abbotsford Traditional Senior Secondary,Abbotsford,0,466,2016/2017,2017,49.043314,-122.355307
439,2016,5909052,Abbotsford Virtual School,Abbotsford,69,501,2016/2017,2017,49.051229,-122.284043
440,2016,5909052,Aberdeen Elementary,Abbotsford,193,0,2016/2017,2017,49.056573,-122.426207
441,2016,5909052,Alexander Elementary,Abbotsford,215,0,2016/2017,2017,49.04271,-122.28826
442,2016,5909052,ASIA - North Poplar,Abbotsford,429,0,2016/2017,2017,49.038329,-122.335936
443,2016,5909052,ASIA - Sumas Mountain 6-9,Abbotsford,136,60,2016/2017,2017,49.050287,-122.221581
444,2016,5909052,ASIA - Sumas Mountain 9-12,Abbotsford,0,173,2016/2017,2017,49.050287,-122.221581
445,2016,5909052,Auguston Traditional Elementary,Abbotsford,371,0,2016/2017,2017,49.084033,-122.218122
446,2016,5909052,Bakerview Ctr for Learning - Alt,Abbotsford,0,246,2016/2017,2017,49.038149,-122.320702
447,2016,5909052,Bakerview Ctr for Learning - CE,Abbotsford,0,2,2016/2017,2017,49.038149,-122.320702
448,2016,5909052,Barrowtown Elementary,Abbotsford,69,0,2016/2017,2017,49.095769,-122.095251
449,2016,5909052,Blue Jay Elementary,Abbotsford,402,0,2016/2017,2017,49.057164,-122.365302
450,2016,5909052,Bradner Elementary,Abbotsford,160,0,2016/2017,2017,49.098181,-122.426497
451,2016,5909052,Centennial Park Elementary,Abbotsford,275,0,2016/2017,2017,49.047997,-122.315435
452,2016,5909052,Chief Dan George Middle,Abbotsford,361,177,2016/2017,2017,49.066036,-122.313722
453,2016,5909052,Clayburn Middle School,Abbotsford,474,240,2016/2017,2017,49.06996,-122.251462
454,2016,5909052,Clearbrook Elementary,Abbotsford,477,0,2016/2017,2017,49.067647,-122.338138
455,2016,5909052,Colleen and Gordie Howe Middle School,Abbotsford,294,133,2016/2017,2017,49.059711,-122.337818
456,2016,5909052,Cornerstone Christian School,Abbotsford,128,23,2016/2017,2017,49.05,-122.283333
457,2016,5909052,Dasmesh Punjabi School,Abbotsford,577,209,2016/2017,2017,49.108883,-122.294175
458,2016,5909052,Dave Kandal Elementary,Abbotsford,262,0,2016/2017,2017,49.066229,-122.377292
459,2016,5909052,Dogwood School,Abbotsford,19,26,2016/2017,2017,49.051239,-122.286297
460,2016,5909052,Dormick Park Elementary,Abbotsford,292,0,2016/2017,2017,49.043837,-122.332583
