Average Rents($) of Vacant and Occupied Units by Zone and Bedroom Type,,,,,,,,,,,,,,,,,,,,,,,,,,
"Privately Initiated Apartments, 3 Units and Over",,,,,,,,,,,,,,,,,,,,,,,,,,
Census Metropolitan Areas,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2019,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Y/N: Are the average rents of vacant units statistically higher than the occupied units?,,,,,,,,,,,,,,,,,,,,,,,,,,
95% of Confidence Level is used for the test.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bachelor,,,,,1 Bedroom,,,,,2 Bedroom,,,,,3 Bedroom +,,,,,Total,,,,
Zone,Year,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N,Vacant Units,,Occupied Units,,Y/N
Zone 01 - Lethbridge,2019,**,,741,a,**,904,a,919,a,N,976,a,"1,011",a,N,**,,"1,153",a,**,921,a,976,a,N
Lethbridge CMA,2019,**,,741,a,**,904,a,919,a,N,976,a,"1,011",a,N,**,,"1,153",a,**,921,a,976,a,N
Zone 01 - Downtown North,2019,**,,673,b,**,920,b,893,a,Y,**,,"1,260",b,**,**,,"1,434",d,**,"1,016",b,"1,045",b,N
Zone 02 - Northeast,2019,**,,690,a,**,844,a,819,a,Y,"1,002",a,938,a,Y,**,,"1,123",a,**,931,a,896,a,Y
Zone 03 - North,2019,**,,749,b,**,"1,029",a,"1,019",a,N,"1,336",d,"1,266",b,Y,**,,"1,785",b,**,"1,273",c,"1,174",b,Y
Zone 04 - Northwest,2019,"1,065",a,795,a,Y,"1,129",a,"1,005",a,Y,"1,471",a,"1,217",a,Y,**,,"1,334",a,**,"1,282",a,"1,116",a,Y
Zone 05 - Southwest,2019,**,,708,a,**,"1,098",b,955,a,Y,"1,435",b,"1,173",b,Y,"1,425",d,"1,304",c,Y,"1,334",b,"1,091",a,Y
Zone 06 - Central South,2019,**,,693,c,**,"1,115",d,857,a,Y,**,,"1,081",b,**,**,,"1,422",b,**,"1,162",b,979,b,Y
Zone 07 - South,2019,850,b,736,b,Y,996,a,904,a,Y,"1,235",b,"1,053",a,Y,**,,"1,310",b,**,"1,128",b,"1,009",a,Y
Zone 08 - East,2019,**,,580,c,**,812,a,819,a,N,996,b,887,a,Y,**,,920,c,**,917,a,852,a,Y
Zone 09 - St. Thomas,2019,**,,551,b,**,**,,726,a,**,"1,510",b,953,b,Y,**,,**,,**,**,,863,b,**
Zone 10 - Strathroy-Caradoc,2019,**,,**,,**,**,,851,a,**,**,,"1,083",b,**,**,,**,,**,970,b,991,b,N
Zone 11 - Remainder of CMA,2019,**,,**,,**,**,,**,,**,**,,919,a,**,**,,**,,**,**,,930,a,**
London CMA,2019,888,b,690,a,Y,950,a,914,a,Y,"1,213",a,"1,105",a,Y,"1,575",d,"1,318",a,Y,"1,089",a,"1,023",a,Y
Zone 01 - Central Moncton,2019,**,,601,b,**,619,a,730,a,N,964,c,827,a,Y,**,,867,b,**,787,b,785,a,N
Zone 02 - West Moncton,2019,**,,634,b,**,682,a,698,a,N,764,b,822,a,N,**,,863,b,**,716,a,770,a,N
Zone 03 - East Moncton,2019,**,,650,b,**,697,a,676,a,Y,881,b,846,a,Y,**,,910,a,**,839,b,816,a,Y
Zone 04 - North Moncton,2019,**,,623,a,**,664,d,780,a,N,828,a,951,a,N,**,,"1,052",c,**,811,b,889,a,N
Zone 05 - Riverview,2019,**,,**,,**,**,,772,a,**,883,b,852,a,Y,**,,"1,210",b,**,883,b,853,a,Y
Zone 06 - Dieppe City,2019,**,,**,,**,**,,756,a,**,923,b,899,a,Y,**,,"1,087",b,**,891,b,879,a,Y
Zone 07 - Remainder of CMA,2019,**,,**,,**,**,,539,a,**,**,,752,a,**,**,,**,,**,**,,686,a,**
Moncton CMA,2019,601,b,624,a,N,657,a,734,a,N,877,a,870,a,Y,891,c,965,a,N,815,a,831,a,N
Zone 01 - Downtown Montréal/Îles-des-Soeurs,2019,"1,147",c,907,a,Y,"1,383",b,"1,162",a,Y,"1,974",c,"1,557",b,Y,**,,"1,653",b,**,"1,540",c,"1,217",a,Y
Zone 02 - Sud-Ouest/Verdun,2019,564,b,639,c,N,867,d,791,b,Y,"1,268",d,819,b,Y,**,,"1,006",b,**,"1,026",d,815,a,Y
Zone 03 - LaSalle,2019,**,,476,c,**,753,a,705,b,Y,805,b,819,c,N,**,,"1,123",c,**,768,a,853,b,N
Zone 04 - ND-de-Grâce/Ct-St-Luc etc.,2019,624,b,639,a,N,918,b,837,a,Y,"1,246",c,"1,105",b,Y,**,,"1,370",c,**,"1,095",c,970,a,Y
Zone 05 - Ct-des-Neiges/Mt-Royal/Outremont,2019,609,b,619,a,N,881,b,805,a,Y,"1,374",c,"1,037",a,Y,"1,902",c,"1,344",b,Y,"1,108",c,927,a,Y
Zone 06 - Plateau-Mont-Royal,2019,**,,756,a,**,"1,038",d,905,a,Y,**,,"1,033",b,**,**,,"1,599",c,**,**,,"1,009",a,**
Zone 07 - Villeray/St-Michel/Pc-Extension,2019,556,b,536,a,Y,695,d,606,a,Y,**,,766,b,**,**,,**,,**,640,b,728,b,N
Zone 08 - Hochelaga-Maisonneuve,2019,**,,579,b,**,**,,658,b,**,**,,783,b,**,**,,"1,005",b,**,**,,753,b,**
Zone 09 - Rosemont/La Petite-Patrie,2019,651,c,600,b,Y,**,,661,b,**,**,,790,b,**,**,,"1,195",d,**,711,c,766,b,N
Zone 10 - Anjou/Saint-Léonard,2019,**,,567,a,**,569,d,618,b,N,799,c,762,a,Y,**,,978,b,**,**,,778,b,**
Zone 11 - Montréal-Nord,2019,**,,536,a,**,620,a,628,a,N,651,c,683,a,N,**,,936,c,**,651,b,695,a,N
